mlbam_id,name,link,active,season
5480,CaroMont Health Park,/api/v1/venues/5480,True,2025
5095,Vivint Smart Home Arena,/api/v1/venues/5095,False,2016
5376,North Harbour Stadium,/api/v1/venues/5376,True,2025
5092,United Center,/api/v1/venues/5092,False,2018
5435,IMG Academy,/api/v1/venues/5435,False,2025
6344,Maxwell Park,/api/v1/venues/6344,False,2025
6593,Boone County Fair Grounds,/api/v1/venues/6593,False,2025
5133,Ottawa Civic Center,/api/v1/venues/5133,False,1995
6415,Shelley Park,/api/v1/venues/6415,False,2025
6592,Edgar Thompson Park,/api/v1/venues/6592,False,2025
5107,Boston Arena,/api/v1/venues/5107,False,1927
5137,St. Louis Arena,/api/v1/venues/5137,False,1993
